latitude,longitude,nwk
-12.5125,-73.857778,2
-12.622925,-73.087749,3
-12.647404,-73.048645,0
-12.677856,-72.622833,0
-12.728041,-73.947004,2
-12.728041,-73.947004,0
-12.86366,-72.69258,2
-13.002668,-73.513029,1
-15.062667,39.193373,1
-15.116701,39.266653,5
-16.433333,179.366667,0
-16.779911,179.33811,0
-16.79764,47.651581,0
-17.624167,177.452778,0
-17.862136,34.597132,0
-18.1416,178.4419,0
-18.1416,178.4419,24
-18.208333,32.8,1
-18.283333,32.05,1
-18.283333,32.05,0
-18.493268,34.423609,26
-18.685277,34.26477,9
-18.914872,47.531612,3
-18.914872,47.531612,0
-19.616667,34.75,7
-2.076093,29.7575,10
-2.116667,133.533333,0
-2.143056,120.728611,4
-2.203816,-79.897453,0
-2.203816,-79.897453,1
-2.515364,28.845079,1
-2.528781,140.713463,1
-2.528781,140.713463,1
-2.528781,140.713463,6
-2.528781,140.713463,2
-2.528781,140.713463,0
-2.530731,-44.306826,1
-2.533,140.717,2
-2.533333,112.95,8
-2.534382,140.709304,0
-2.534382,140.709304,6
-2.534382,140.709304,6
-2.534382,140.709304,4
-2.534382,140.709304,1
-2.534382,140.709304,2
-2.534382,140.709304,0
-2.541279,140.71373,1
-2.541653,140.706078,1
-2.662539,140.699787,4
-2.662539,140.699787,11
-2.694693,27.341538,35.66
-2.694693,27.341538,22.34
-2.794995,129.493398,0
-2.931855,29.424083,1
-20.17219,28.58116,0
-20.32727,33.885775,13
-20.327374,33.885775,4
-20.576852,33.836624,4
-20.576857,33.836645,6
-20.576907,33.835862,3
-20.57694,33.83583,11
-20.57694,33.83583,2
-20.57694,33.83583,5
-20.57694,33.83583,5
-20.873702,34.41834,7
-21.633455,-41.048953,1
-22.015407,-63.678247,2
-22.759087,-43.454762,1
-22.811926,-57.101319,2
-22.811926,-57.101319,1
-22.848195,-45.227283,0
-23.318849,-56.488096,4
-23.343832,-57.051071,3
-23.343832,-57.051071,0
-23.399128,-57.422943,1
-23.4,-57.43,3
-23.4,-57.43,0
-23.45868,-56.738212,6
-23.45954,-56.738399,1
-23.45954,-56.738399,1
-23.45954,-56.738399,8
-26.204103,28.047305,0
-26.823992,27.840381,0
-27.470933,153.023502,0
-27.661735,151.897583,0
-28.0291,153.431388,0
-28.316667,31.416667,1
-28.45411,26.796785,0
-28.747704,30.442531,3
-29.00527,29.87561,0
-29.040112,29.77079,3
-29.73936,30.981985,1
-29.73936,30.981985,2
-29.740055,30.981764,1
-29.91,30.885,3
-29.926419,30.984071,0
-3,120.2,7
-3,120.2,7
-3.011658,28.299435,20
-3.016831,130.332522,6
-3.025327,28.288994,3
-3.030812,28.29895,20
-3.100096,30.163019,5
-3.193543,29.306158,3
-3.219186,40.116891,7
-3.228271,130.131225,28
-3.296667,102.861667,1
-3.29669,129.527507,2
-3.30606,128.961589,0
-3.332054,128.366703,2
-3.333333,29.25,12
-3.34111,128.923529,0
-3.341638,128.352878,7
-3.341638,128.352878,50
-3.36338,36.687477,24
-3.365789,36.67445,63
-3.389506,127.980532,3
-3.3925,29.949444,20
-3.435,29.955,4
-3.560226,126.546719,3
-3.566108,128.321111,5
-3.615072,39.85445,1
-3.648426,128.16576,8
-3.648426,128.16576,3
-3.648426,128.16576,8
-3.648426,128.16576,0
-3.648426,128.16576,9
-3.648426,128.16576,19
-3.648426,128.16576,0
-3.648426,128.16576,62
-3.648426,128.16576,10
-3.648426,128.16576,21
-3.648426,128.16576,4
-3.648426,128.16576,0
-3.648426,128.16576,0
-3.648426,128.16576,10
